Film,Developer,Dilution,ISO,35MM,120,Sheet,Temp,Notes
CHM 100 Universal,*see notes*,,,,,,,<a href="devchart.php?devrow=11459">[notes]</a>
CHM 100 Universal,510-Pyro,1+100,100,11:45,,,20C,
CHM 100 Universal,510-Pyro,1+100,100,15,,,20C,<a href="devchart.php?devrow=16780">[notes]</a>
CHM 100 Universal,Adox HR-DEV,1+35,160,10,,,20C,<a href="devchart.php?devrow=13805">[notes]</a>
CHM 100 Universal,Atomal 49,1+2,100,22,,,20C,
CHM 100 Universal,Atomal 49,stock,160,9:30,,,20C,
CHM 100 Universal,D-76,stock,100,9,,,20C,
CHM 100 Universal,FX-39,1+9,100,8,,,20C,
CHM 100 Universal,ID-11,stock,100,9,,,20C,
CHM 100 Universal,Microphen,stock,200,9,,,20C,
CHM 100 Universal,Rodinal,1+24,80,5:30,,,20C,
CHM 100 Universal,Rodinal,1+50,80,10,,,20C,
CHM 100 Universal,Silvermax,1+24,100,8:30,,,20C,
CHM 100 Universal,SP-Ultra 4LF,1+9,125,6:30,,,20C,
CHM 100 Universal,Spur Speed-Major,1+35,200,8:30,,,20C,<a href="devchart.php?devrow=14256">[notes]</a>
CHM 100 Universal,Spur Speed-Major,1+24,400,11,,,20C,<a href="devchart.php?devrow=14257">[notes]</a>
CHM 100 Universal,Spur Speed-Major,1+14,640,12,,,20C,<a href="devchart.php?devrow=14258">[notes]</a>
CHM 100 Universal,Spur Speed-Major,1+9,1000,13,,,20C,
CHM 100 Universal,Spur TRX 2000,1+35,160,10,,,20C,<a href="devchart.php?devrow=17769">[notes]</a>
CHM 400 Universal,*see notes*,,,,,,,<a href="devchart.php?devrow=11460">[notes]</a>
CHM 400 Universal,510-Pyro,1+100,400,20:30,,,20C,<a href="devchart.php?devrow=16792">[notes]</a>
CHM 400 Universal,510-Pyro,1+100,400,11,,,20C,
CHM 400 Universal,510-Pyro,1+100,1600,25,,,20C,
CHM 400 Universal,Adox HR-DEV,1+24,100,13:30,,,20C,<a href="devchart.php?devrow=13806">[notes]</a>
CHM 400 Universal,FX-39,1+9,400,11,,,20C,
CHM 400 Universal,FX-39,1+9,800,16:30,,,21C,
CHM 400 Universal,Spur Speed-Major,1+24,400,9,,,20C,<a href="devchart.php?devrow=14269">[notes]</a>
CHM 400 Universal,Spur Speed-Major,1+20,500,11,,,20C,<a href="devchart.php?devrow=14270">[notes]</a>
CHM 400 Universal,Spur Speed-Major,1+11,800,11,,,20C,<a href="devchart.php?devrow=14271">[notes]</a>
CHM 400 Universal,Spur Speed-Major,1+9,1000,13,,,20C,
CHM 400 Universal,Spur Speed-Major,1+7,1600,15,,,20C,
CHM 400 Universal,Spur TRX 2000,1+24,100,13:30,,,20C,<a href="devchart.php?devrow=17768">[notes]</a>
Adox CHS 100,ABC Pyro,stock,100,6,6,6,20C,
Adox CHS 100,Acufine,stock,100,3,3,3,20C,
